id	area	priority	status	confidence	owner	evidence	spec	tests	next_action
input.logical_state	input	P0	verified	high	-	research/claims/tap-candidate-judgement-gate.md; research/claims/tap-rising-edge-snapshot.md; research/claims/hold-source-continuation.md; research/claims/forced-result-mode.md; research/claims/flick-motion-judgement.md; research/claims/air-secondary-judgement.md; research/claims/slide-path-sustain-judgement.md; research/claims/air-hold-secondary-judgement.md; research/claims/mine-contact-aggregate-judgement.md; research/claims/touch-photo-input-framing.md; research/claims/input-snapshot-profile-synthesis.md	spec/input.md; spec/configuration.md; spec/notes/hold.md; spec/judgement.md; spec/notes/flick.md; spec/notes/mine.md; spec/notes/air.md; spec/notes/slide.md; spec/notes/air_hold.md	tests/tap_input_test.cpp; tests/input_profile_test.cpp; tests/hold_sustain_test.cpp; tests/forced_result_test.cpp; tests/flick_motion_test.cpp; tests/mine_contact_test.cpp; tests/air_judgement_test.cpp; tests/slide_path_test.cpp; tests/air_hold_judgement_test.cpp	Reopen only if a new snapshot accessor or writer contradicts the closed synthesis and consumer inventory
input.buffering	input	P0	verified	high	-	research/claims/tap-rising-edge-snapshot.md; research/claims/gameplay-substep-order.md; research/claims/autoscan-counter-wrap.md; research/claims/hold-source-continuation.md; research/claims/air-secondary-judgement.md; research/claims/slide-path-sustain-judgement.md; research/claims/air-hold-secondary-judgement.md; research/claims/pre-active-zero-base-priming.md; research/claims/touch-photo-input-framing.md; research/claims/input-snapshot-profile-synthesis.md	spec/input.md; spec/configuration.md; spec/timing.md; spec/notes/hold.md; spec/notes/air.md; spec/notes/slide.md; spec/notes/air_hold.md	tests/tap_input_test.cpp; tests/input_profile_test.cpp; tests/play_clock_test.cpp; tests/hold_sustain_test.cpp; tests/air_judgement_test.cpp; tests/slide_path_test.cpp; tests/air_hold_judgement_test.cpp	Reopen only if a selector, reset, or append path contradicts the seeded 301-snapshot history model
matching.candidates	matching	P0	verified	high	-	research/claims/tap-candidate-judgement-gate.md; research/claims/hold-construction-start-gate.md; research/claims/tap-adjacent-window-adjustment.md; research/claims/tap-center-window-adjustment.md; research/claims/flick-motion-judgement.md; research/claims/flick-candidate-asymmetry.md; research/claims/cross-family-candidate-result-order.md; research/claims/chara-tap-result-category.md; research/claims/air-secondary-judgement.md; research/claims/slide-path-sustain-judgement.md; research/claims/air-hold-secondary-judgement.md; research/claims/air-solid-nonjudgement.md; research/claims/mine-contact-aggregate-judgement.md	spec/matching.md; spec/timing.md; spec/notes/hold.md; spec/notes/tap.md; spec/notes/flick.md; spec/notes/mine.md; spec/notes/air.md; spec/notes/slide.md; spec/notes/air_hold.md; spec/notes/air_solid.md	tests/hold_sustain_test.cpp; tests/tap_window_test.cpp; tests/flick_motion_test.cpp; tests/candidate_interaction_test.cpp; tests/shared_result_test.cpp; tests/mine_contact_test.cpp; tests/air_judgement_test.cpp; tests/slide_path_test.cpp; tests/air_hold_judgement_test.cpp; tests/aso_parser_test.cpp	Reopen only if another candidate-producing virtual or edge-consuming writer is found
matching.priority	matching	P0	verified	high	-	research/claims/tap-candidate-judgement-gate.md; research/claims/tap-equal-candidate-fanout.md; research/claims/tap-deferred-terminal-candidate.md; research/claims/hold-construction-start-gate.md; research/claims/hold-source-continuation.md; research/claims/flick-motion-judgement.md; research/claims/flick-candidate-asymmetry.md; research/claims/cross-family-candidate-result-order.md; research/claims/chara-tap-result-category.md	spec/matching.md; spec/timing.md; spec/notes/hold.md; spec/notes/flick.md; spec/notes/tap.md	tests/tap_lifecycle_test.cpp; tests/hold_sustain_test.cpp; tests/flick_motion_test.cpp; tests/candidate_interaction_test.cpp; tests/shared_result_test.cpp	Reopen only if another insertion path contradicts dynamic construction order or a gate consumes shared state
judgement.types	judgement	P0	verified	high	-	research/claims/tap-window-classification.md; research/claims/tap-candidate-judgement-gate.md; research/claims/active-tier-zeroing.md; research/claims/hold-sustain-gap-lifecycle.md; research/claims/forced-result-mode.md; research/claims/result-terminal-short-circuit.md; research/claims/ordinary-terminal-summary-producers.md; research/claims/ordinary-terminal-end-threshold.md; research/claims/ordinary-configured-terminal-rule.md; research/claims/alternate-terminal-meter.md; research/claims/flick-motion-judgement.md; research/claims/chara-tap-result-category.md; research/claims/air-secondary-judgement.md; research/claims/slide-path-sustain-judgement.md; research/claims/air-hold-secondary-judgement.md; research/claims/air-slide-secondary-judgement.md; research/claims/heaven-hold-judgement.md; research/claims/slide-hld-heaven-retyping.md; research/claims/periodic-aggregate-reevaluation.md; research/claims/shared-result-two-stage-routing.md; research/claims/mine-contact-aggregate-judgement.md; research/claims/active-gameplay-exit-gate.md; research/claims/result-component-identifier-flow.md; research/claims/air-ladder-generated-checkpoints.md; research/claims/air-ladder-precalc-presentation.md	spec/judgement.md; spec/configuration.md; spec/notes/hold.md; spec/matching.md; spec/notes/flick.md; spec/notes/tap.md; spec/notes/mine.md; spec/notes/air.md; spec/notes/slide.md; spec/notes/air_hold.md; spec/notes/air_slide.md; spec/notes/air_ladder.md; spec/notes/heaven_hold.md	tests/result_identifier_test.cpp; tests/tap_window_test.cpp; tests/hold_sustain_test.cpp; tests/forced_result_test.cpp; tests/shared_result_test.cpp; tests/alternate_meter_test.cpp; tests/flick_motion_test.cpp; tests/mine_contact_test.cpp; tests/air_judgement_test.cpp; tests/slide_path_test.cpp; tests/air_hold_judgement_test.cpp; tests/air_slide_judgement_test.cpp; tests/air_ladder_judgement_test.cpp; tests/heaven_hold_judgement_test.cpp; tests/gameplay_exit_test.cpp; tests/air_ladder_presentation_test.cpp	Reopen only if an exact-binary contradiction changes the corrected AirLadder accepted-event identity, authored terminal schedule, authored main geometry, or generated-checkpoint ownership
judgement.windows	judgement	P0	verified	high	-	research/claims/tap-window-classification.md; research/claims/tap-adjacent-window-adjustment.md; research/claims/tap-center-window-adjustment.md; research/claims/flick-motion-judgement.md; research/claims/chara-tap-result-category.md; research/claims/air-secondary-judgement.md; research/claims/slide-path-sustain-judgement.md; research/claims/air-hold-secondary-judgement.md; research/claims/hold-extended-profile-selection.md	spec/judgement.md; spec/configuration.md; spec/matching.md; spec/notes/flick.md; spec/notes/tap.md; spec/notes/hold.md; spec/notes/air.md; spec/notes/slide.md; spec/notes/air_hold.md	tests/tap_window_test.cpp; tests/hold_variant_test.cpp; tests/flick_motion_test.cpp; tests/shared_result_test.cpp; tests/air_judgement_test.cpp; tests/slide_path_test.cpp; tests/air_hold_judgement_test.cpp	Reopen only if another executable selector contradicts the closed shared-checker and AIR profile maps
judgement.miss	judgement	P0	verified	high	-	research/claims/tap-candidate-judgement-gate.md; research/claims/tap-window-classification.md; research/claims/active-tier-zeroing.md; research/claims/tap-deferred-terminal-candidate.md; research/claims/hold-construction-start-gate.md; research/claims/hold-sustain-gap-lifecycle.md; research/claims/forced-result-mode.md; research/claims/result-terminal-short-circuit.md; research/claims/ordinary-terminal-summary-producers.md; research/claims/ordinary-configured-terminal-rule.md; research/claims/alternate-terminal-meter.md; research/claims/flick-motion-judgement.md; research/claims/chara-tap-result-category.md; research/claims/air-secondary-judgement.md; research/claims/slide-path-sustain-judgement.md; research/claims/air-hold-secondary-judgement.md; research/claims/shared-result-two-stage-routing.md; research/claims/mine-contact-aggregate-judgement.md	spec/judgement.md; spec/notes/tap.md; spec/notes/hold.md; spec/matching.md; spec/notes/flick.md; spec/notes/mine.md; spec/notes/air.md; spec/notes/slide.md; spec/notes/air_hold.md	tests/tap_window_test.cpp; tests/tap_lifecycle_test.cpp; tests/hold_sustain_test.cpp; tests/forced_result_test.cpp; tests/shared_result_test.cpp; tests/alternate_meter_test.cpp; tests/flick_motion_test.cpp; tests/mine_contact_test.cpp; tests/air_judgement_test.cpp; tests/slide_path_test.cpp; tests/air_hold_judgement_test.cpp	Resolve player-facing miss identity only where exact-binary evidence supports it
note.tap	notes	P0	verified	high	-	research/claims/event-family-type-map.md; research/claims/tap-construction.md; research/claims/tap-candidate-judgement-gate.md; research/claims/tap-window-classification.md; research/claims/tap-rising-edge-snapshot.md; research/claims/tap-equal-candidate-fanout.md; research/claims/tap-deferred-terminal-candidate.md; research/claims/active-tier-zeroing.md; research/claims/gameplay-clock-reconstruction.md; research/claims/forced-result-mode.md; research/claims/result-terminal-short-circuit.md; research/claims/tap-adjacent-window-adjustment.md; research/claims/tap-center-window-adjustment.md; research/claims/chara-tap-result-category.md; research/claims/shared-result-two-stage-routing.md; research/claims/common-lane-width-encoding.md; research/claims/result-component-identifier-flow.md	spec/notes/tap.md; spec/input.md; spec/matching.md; spec/judgement.md; spec/timing.md; spec/configuration.md	tests/result_identifier_test.cpp; tests/common_lane_width_test.cpp; tests/tap_window_test.cpp; tests/tap_input_test.cpp; tests/tap_lifecycle_test.cpp; tests/play_clock_test.cpp; tests/forced_result_test.cpp; tests/shared_result_test.cpp	Recover player-facing result identity only if supported by exact-binary consumers
note.hold	notes	P0	verified	high	-	research/claims/hold-construction-start-gate.md; research/claims/hold-extended-profile-selection.md; research/claims/hold-source-continuation.md; research/claims/hold-sustain-gap-lifecycle.md; research/claims/forced-result-mode.md; research/claims/hold-end-feedback-boundary.md; research/claims/result-terminal-short-circuit.md; research/claims/alternate-terminal-meter.md; research/claims/tap-adjacent-window-adjustment.md; research/claims/shared-result-two-stage-routing.md; research/claims/common-lane-width-encoding.md; research/claims/result-component-identifier-flow.md	spec/notes/hold.md; spec/input.md; spec/matching.md; spec/judgement.md; spec/configuration.md	tests/result_identifier_test.cpp; tests/common_lane_width_test.cpp; tests/hold_variant_test.cpp; tests/hold_sustain_test.cpp; tests/tap_input_test.cpp; tests/tap_window_test.cpp; tests/tap_lifecycle_test.cpp; tests/forced_result_test.cpp; tests/shared_result_test.cpp; tests/alternate_meter_test.cpp	Reopen only if another copied field or type-1 consumer contradicts the closed HOLD path
note.slide	notes	P0	verified	high	-	research/claims/slide-path-sustain-judgement.md; research/claims/slide-hld-heaven-retyping.md; research/claims/slide-presentation-classes.md; research/claims/slide-path-presentation-geometry.md	spec/notes/slide.md	tests/slide_path_test.cpp; tests/heaven_hold_judgement_test.cpp	Reopen only if another endpoint-profile producer, path-key behavior, or ordinary Slide endpoint/mesh consumer contradicts the checked builder, update, and Joint paths
note.air	notes	P0	verified	high	-	research/claims/air-secondary-judgement.md; research/claims/input-snapshot-profile-synthesis.md	spec/notes/air.md; spec/input.md	tests/air_judgement_test.cpp; tests/input_profile_test.cpp	Audit supported root-family compatibility only if a parser/factory contradiction appears
note.flick	notes	P0	verified	high	-	research/claims/flick-motion-judgement.md; research/claims/flick-candidate-asymmetry.md	spec/notes/flick.md; spec/input.md; spec/matching.md; spec/judgement.md; spec/configuration.md	tests/flick_motion_test.cpp; tests/candidate_interaction_test.cpp	Audit active-result remap interaction and player-facing direction identity
note.other_variants	notes	P0	verified	high	-	research/claims/event-family-type-map.md; research/claims/flick-motion-judgement.md; research/claims/chara-tap-result-category.md; research/claims/air-hold-secondary-judgement.md; research/claims/air-slide-secondary-judgement.md; research/claims/heaven-hold-judgement.md; research/claims/slide-hld-heaven-retyping.md; research/claims/air-solid-nonjudgement.md; research/claims/shared-result-two-stage-routing.md; research/claims/mine-contact-aggregate-judgement.md; research/claims/input-snapshot-profile-synthesis.md; research/claims/air-ladder-generated-checkpoints.md	spec/c2s.md; spec/input.md; spec/notes/flick.md; spec/notes/tap.md; spec/notes/mine.md; spec/notes/air_hold.md; spec/notes/air_slide.md; spec/notes/air_ladder.md; spec/notes/heaven_hold.md; spec/notes/air_solid.md	tests/input_profile_test.cpp; tests/flick_motion_test.cpp; tests/shared_result_test.cpp; tests/mine_contact_test.cpp; tests/air_hold_judgement_test.cpp; tests/air_slide_judgement_test.cpp; tests/air_ladder_judgement_test.cpp; tests/heaven_hold_judgement_test.cpp; tests/aso_parser_test.cpp	Reopen only if new exact-binary or corpus evidence contradicts the corrected ALD authored-control to generated-checkpoint producer and consumers
state.ownership	state	P0	verified	high	-	research/claims/parser-multi-pass-dispatch.md; research/claims/derived-command-overwrite.md; research/claims/tap-construction.md; research/claims/tap-candidate-judgement-gate.md; research/claims/tap-deferred-terminal-candidate.md; research/claims/active-tier-zeroing.md; research/claims/hold-construction-start-gate.md; research/claims/hold-source-continuation.md; research/claims/hold-sustain-gap-lifecycle.md; research/claims/forced-result-mode.md; research/claims/result-terminal-short-circuit.md; research/claims/ordinary-terminal-summary-producers.md; research/claims/ordinary-configured-terminal-rule.md; research/claims/alternate-terminal-meter.md; research/claims/flick-motion-judgement.md; research/claims/air-secondary-judgement.md; research/claims/slide-path-sustain-judgement.md; research/claims/slide-presentation-classes.md; research/claims/slide-path-presentation-geometry.md; research/claims/air-hold-secondary-judgement.md; research/claims/runtime-note-materialization-order.md; research/claims/runtime-note-dispatch.md; research/claims/note-view-preload-barrier.md; research/claims/slide-hld-heaven-retyping.md; research/claims/parser-derived-summary-boundary.md; research/claims/periodic-aggregate-reevaluation.md; research/claims/shared-result-two-stage-routing.md; research/claims/mine-contact-aggregate-judgement.md; research/claims/active-gameplay-exit-gate.md; research/claims/post-active-gameplay-drain.md; research/claims/final-result-persistence-order.md; research/claims/pre-active-zero-base-priming.md; research/claims/outer-update-direct-callee-closure.md; research/claims/input-snapshot-profile-synthesis.md; research/claims/projection-schedule-materialization.md; research/claims/common-lane-width-encoding.md; research/claims/result-component-identifier-flow.md; research/claims/air-ladder-generated-checkpoints.md; research/claims/air-ladder-precalc-presentation.md; research/claims/notes-precalc-manager-map-closure.md; research/claims/joint-dynamic-primitive-producer-closure.md; research/claims/air-sprite-dynamic-primitive-closure.md; research/claims/dynamic-primitive-util-owner-inventory.md; research/claims/dynamic-primitive-entry-setup-reset-closure.md; research/claims/dynamic-primitive-finalizer-teardown-closure.md; research/claims/dynamic-primitive-convenience-helper-owner-closure.md; research/claims/primitive-topology-derived-flags.md; research/claims/effect-manager-list-lifecycle-closure.md; research/claims/effect-player-state-machine-closure.md	spec/c2s.md; spec/notes/tap.md; spec/notes/hold.md; spec/configuration.md; spec/input.md; spec/matching.md; spec/judgement.md; spec/notes/flick.md; spec/notes/mine.md; spec/notes/air.md; spec/notes/slide.md; spec/notes/air_hold.md; spec/timing.md; spec/notes/air_ladder.md; spec/presentation.md	tests/result_identifier_test.cpp; tests/common_lane_width_test.cpp; tests/input_profile_test.cpp; tests/derived_command_test.cpp; tests/tap_lifecycle_test.cpp; tests/hold_sustain_test.cpp; tests/forced_result_test.cpp; tests/shared_result_test.cpp; tests/alternate_meter_test.cpp; tests/flick_motion_test.cpp; tests/mine_contact_test.cpp; tests/air_judgement_test.cpp; tests/slide_path_test.cpp; tests/air_hold_judgement_test.cpp; tests/chart_load_lifecycle_test.cpp; tests/runtime_materialization_test.cpp; tests/projection_schedule_test.cpp; tests/runtime_note_dispatch_test.cpp; tests/note_view_preload_test.cpp; tests/heaven_hold_judgement_test.cpp; tests/gameplay_exit_test.cpp; tests/air_ladder_judgement_test.cpp; tests/air_ladder_presentation_test.cpp; tests/scene_camera_presentation_test.cpp; tests/shared_feedback_presentation_test.cpp	Reopen only if an exact-binary contradiction changes the corrected AirLadder identity/geometry/topology, ordinary Slide endpoint/path ownership, the closed four-map precompute lifecycle, the complete Joint owner set, the closed Sprite owner/geometry lifecycle, the complete 17-root dynamic-primitive constructor inventory, the common setup/finalizer/teardown lifecycle, the closed generic helper owner set, chart mode 2/3/4 derived submission flags, the complete feedback EffList lifecycle, or the complete EffectBase wrapper lifecycle
config.external	configuration	P0	verified	high	-	research/claims/tap-window-classification.md; research/claims/active-tier-zeroing.md; research/claims/skill-before-gameplay-control-loading.md; research/claims/hold-sustain-gap-lifecycle.md; research/claims/forced-result-mode.md; research/claims/tap-adjacent-window-adjustment.md; research/claims/tap-center-window-adjustment.md; research/claims/ordinary-terminal-end-threshold.md; research/claims/ordinary-configured-terminal-rule.md; research/claims/flick-motion-judgement.md; research/claims/air-secondary-judgement.md; research/claims/slide-path-sustain-judgement.md; research/claims/air-hold-secondary-judgement.md; research/claims/periodic-aggregate-reevaluation.md; research/claims/mine-contact-aggregate-judgement.md; research/claims/input-snapshot-profile-synthesis.md; research/claims/projection-schedule-materialization.md; research/claims/runtime-materialization-input-producers.md; research/claims/hold-extended-profile-selection.md; research/claims/external-presentation-table-provenance.md	spec/configuration.md; spec/input.md; spec/notes/hold.md; spec/judgement.md; spec/notes/tap.md; spec/matching.md; spec/notes/flick.md; spec/notes/mine.md; spec/notes/air.md; spec/notes/slide.md; spec/notes/air_hold.md; spec/timing.md	tests/input_profile_test.cpp; tests/tap_window_test.cpp; tests/hold_variant_test.cpp; tests/projection_schedule_test.cpp; tests/runtime_materialization_test.cpp; tests/hold_sustain_test.cpp; tests/forced_result_test.cpp; tests/shared_result_test.cpp; tests/flick_motion_test.cpp; tests/mine_contact_test.cpp; tests/air_judgement_test.cpp; tests/slide_path_test.cpp; tests/air_hold_judgement_test.cpp	External values remain parameters; reopen only on a selector or consumer contradiction
interactions.cross_note	interactions	P0	verified	high	-	research/claims/tap-equal-candidate-fanout.md; research/claims/tap-deferred-terminal-candidate.md; research/claims/active-tier-zeroing.md; research/claims/hold-source-continuation.md; research/claims/forced-result-mode.md; research/claims/result-terminal-short-circuit.md; research/claims/ordinary-terminal-summary-producers.md; research/claims/ordinary-configured-terminal-rule.md; research/claims/alternate-terminal-meter.md; research/claims/tap-adjacent-window-adjustment.md; research/claims/flick-motion-judgement.md; research/claims/flick-candidate-asymmetry.md; research/claims/cross-family-candidate-result-order.md; research/claims/chara-tap-result-category.md; research/claims/air-secondary-judgement.md; research/claims/slide-path-sustain-judgement.md; research/claims/air-hold-secondary-judgement.md; research/claims/runtime-note-dispatch.md; research/claims/periodic-aggregate-reevaluation.md; research/claims/shared-result-two-stage-routing.md; research/claims/mine-contact-aggregate-judgement.md; research/claims/active-gameplay-exit-gate.md; research/claims/post-active-gameplay-drain.md; research/claims/pre-active-zero-base-priming.md; research/claims/projection-schedule-materialization.md; research/claims/sla-materialization-selection.md; research/claims/result-component-identifier-flow.md	spec/matching.md; spec/notes/tap.md; spec/notes/hold.md; spec/configuration.md; spec/judgement.md; spec/notes/flick.md; spec/notes/mine.md; spec/notes/air.md; spec/notes/slide.md; spec/notes/air_hold.md; spec/timing.md	tests/result_identifier_test.cpp; tests/tap_lifecycle_test.cpp; tests/hold_sustain_test.cpp; tests/tap_window_test.cpp; tests/forced_result_test.cpp; tests/shared_result_test.cpp; tests/alternate_meter_test.cpp; tests/flick_motion_test.cpp; tests/candidate_interaction_test.cpp; tests/mine_contact_test.cpp; tests/air_judgement_test.cpp; tests/slide_path_test.cpp; tests/air_hold_judgement_test.cpp; tests/runtime_note_dispatch_test.cpp; tests/runtime_materialization_test.cpp; tests/projection_schedule_test.cpp; tests/gameplay_exit_test.cpp	Reopen only if another marker cycle or result-control caller contradicts the closed interaction inventory
